Tue Mar 14 15:48:19 CST 2017

  Name |    Phone |      Birth | Age |                    Address |      Properties
  姓名1 | 23453210 | 1990/01/01 |  27 |     台北市天龍區天龍路1號 1F-1 |          18,500
  姓名2 | 23453211 | 1991/01/02 |  26 |     台北市天龍區天龍路1號 1F-2 |          19,500
  姓名3 | 23453212 | 1993/01/03 |  24 |     台北市天龍區天龍路1號 1F-3 |             500
  姓名4 | 23453213 | 1990/01/04 |  27 |     台北市天龍區天龍路1號 1F-4 |           2,500
  姓名5 | 23453214 | 1997/01/05 |  20 |     台北市天龍區天龍路1號 1F-5 |          22,500
  姓名6 | 23453215 | 1996/01/06 |  21 |     台北市天龍區天龍路1號 1F-6 |          23,500
  姓名7 | 23453216 | 1990/04/07 |  26 |     台北市天龍區天龍路1號 1F-7 |         456,500
  姓名8 | 23453217 | 1992/01/08 |  25 |     台北市天龍區天龍路1號 1F-8 |       7,788,500
  姓名9 | 23453218 | 1990/01/09 |  27 |     台北市天龍區天龍路1號 1F-9 |   7,867,818,500
 姓名10 | 23453219 | 1990/01/10 |  27 |    台北市天龍區天龍路1號 1F-10 |       7,788,500
 姓名11 | 23453220 | 1990/01/11 |  27 |    台北市天龍區天龍路1號 1F-11 |     486,435,430
 姓名12 | 23453221 | 1990/01/12 |  27 |    台北市天龍區天龍路1號 1F-12 |      78,645,610
 姓名13 | 23453222 | 1990/01/13 |  27 |    台北市天龍區天龍路1號 1F-13 |         789,450
 姓名14 | 23453223 | 1990/01/14 |  27 |    台北市天龍區天龍路1號 1F-14 |          18,500
 姓名15 | 23453224 | 1990/01/15 |  27 |    台北市天龍區天龍路1號 1F-15 |          18,500
 姓名16 | 23453225 | 1990/01/16 |  27 |    台北市天龍區天龍路1號 1F-16 |          18,500
 姓名17 | 23453226 | 1990/01/17 |  27 |    台北市天龍區天龍路1號 1F-17 |          18,500
 姓名18 | 23453227 | 1990/01/18 |  27 |    台北市天龍區天龍路1號 1F-18 |          18,500
 姓名19 | 23453228 | 1990/01/19 |  27 |    台北市天龍區天龍路1號 1F-19 |          18,500
 姓名20 | 23453229 | 1990/01/20 |  27 |    台北市天龍區天龍路1號 1F-20 |          18,500
 姓名21 | 23453230 | 1990/01/21 |  27 |    台北市天龍區天龍路1號 1F-21 |          18,500
 姓名22 | 23453231 | 1990/01/22 |  27 |    台北市天龍區天龍路1號 1F-22 |          18,500
 姓名23 | 23453232 | 1990/01/23 |  27 |    台北市天龍區天龍路1號 1F-23 |          18,500
 姓名24 | 23453233 | 1990/01/24 |  27 |    台北市天龍區天龍路1號 1F-24 |          18,500
 姓名25 | 23453234 | 1990/01/25 |  27 |    台北市天龍區天龍路1號 1F-25 |          18,500
 姓名26 | 23453235 | 1990/01/26 |  27 |    台北市天龍區天龍路1號 1F-26 |          18,500
 姓名27 | 23453236 | 1990/01/27 |  27 |    台北市天龍區天龍路1號 1F-27 |          18,500
 姓名28 | 23453237 | 1990/01/28 |  27 |    台北市天龍區天龍路1號 1F-28 |          18,500
 姓名29 | 23453238 | 1990/01/29 |  27 |    台北市天龍區天龍路1號 1F-29 |          18,500
 姓名30 | 23453239 | 1990/01/30 |  27 |    台北市天龍區天龍路1號 1F-30 |          18,500
